item_id,rater_row_id,repo,file,anchor_line,decl_name,detector_category,gold_verdict,gold_category,gold_source,detector_result,rater_A_verdict,rater_A_category,rater_B_verdict,rater_B_category,other_issues,adjudicator_notes,anchor_text,context
pilot-0220,r0200,DaKlok__BibleLockScreen,DaKlok__BibleLockScreen/app/src/main/java/com/daklok/biblelockscreen/ColorPickerDialog.kt,186.0,ColorPickerDialog,pointerinput_no_semantics,ISSUE,pointerinput_no_semantics,agreed,TP,ISSUE,pointerinput_no_semantics,ISSUE,pointerinput_no_semantics,,,detectTapGestures { handle(it) },"  174 |                         modifier = Modifier
  175 |                             .size(160.dp)
  176 |                             .clip(CircleShape)
  177 |                             .pointerInput(valueState) {
  178 |                                 val sz = size.width.toFloat()
  179 |                                 val cx = sz / 2f; val r = sz / 2f
  180 |                                 fun handle(pos: Offset) {
  181 |                                     val dx = pos.x - cx; val dy = pos.y - cx
  182 |                                     val dist = sqrt(dx * dx + dy * dy).coerceAtMost(r)
  183 |                                     val h = ((atan2(dy, dx) * 180f / PI.toFloat()) + 360f) % 360f
  184 |                                     setHsv(h, dist / r, valueState, fromWheel = true)
  185 |                                 }
  186 |                                 detectTapGestures { handle(it) }
  187 |                             }
  188 |                             .pointerInput(valueState) {
  189 |                                 val sz = size.width.toFloat()
  190 |                                 val cx = sz / 2f; val r = sz / 2f
  191 |                                 detectDragGestures { change, _ ->
  192 |                                     val pos = change.position
  193 |                                     val dx  = pos.x - cx; val dy = pos.y - cx
  194 |                                     val dist = sqrt(dx * dx + dy * dy).coerceAtMost(r)
  195 |                                     val h = ((atan2(dy, dx) * 180f / PI.toFloat()) + 360f) % 360f
  196 |                                     setHsv(h, dist / r, valueState, fromWheel = true)
  197 |                                 }
  198 |                             }
  199 |                     ) {
  200 |                         Canvas(modifier = Modifier.fillMaxSize()) {
  201 |                             drawColorWheel(valueState)
  202 |                             // cursor
  203 |                             val cx2  = size.width  / 2f
  204 |                             val cy2  = size.height / 2f
  205 |                             val r2   = minOf(cx2, cy2)
  206 |                             val ang  = hueState * PI.toFloat() / 180f
  207 |                             val dotX = cx2 + satState * r2 * cos(ang)
  208 |                             val dotY = cy2 + satState * r2 * sin(ang)
  209 |                             drawCircle(Color.White,        radius = 10f, center = Offset(dotX, dotY))
  210 |                             drawCircle(currentColor,       radius = 7f,  center = Offset(dotX, dotY))
  211 |                         }
  212 |                     }
  213 | 
  214 |                     Column(
  215 |                         modifier            = Modifier.weight(1f),
  216 |                         verticalArrangement = Arrangement.spacedBy(8.dp)
  217 |                     ) {
  218 |                         // Swatch
  219 |                         Box(
  220 |                             modifier = Modifier
  221 |                                 .fillMaxWidth()
  222 |                                 .height(44.dp)
  223 |                                 .clip(RoundedCornerShape(10.dp))
  224 |                                 .background(currentColor)
  225 |                                 .border(
  226 |                                     0.5.dp,"
pilot-0284,r0130,GetStream__whatsApp-clone-compose,GetStream__whatsApp-clone-compose/features/chats/src/main/kotlin/io/getstream/whatsappclone/chats/messages/WhatsAppMessageTopBar.kt,55.0,WhatsAppMessageTopBar,touch_target_size,ISSUE,clickable_icon_not_iconbutton,adjudicated,TP_OTHER,ISSUE,clickable_icon_not_iconbutton,ISSUE,touch_target_size,"missing_content_description,missing_semantics_role,touch_target_size",CATEGORY ONLY: both agree on verdict; pick category,.size(26.dp),"   43 | 
   44 | @Composable
   45 | fun WhatsAppMessageTopBar(
   46 |   messageUiState: WhatsAppMessageUiState,
   47 |   navigateToVideoCall: (Boolean) -> Unit,
   48 |   onBackClick: () -> Unit
   49 | ) {
   50 |   TopAppBar(
   51 |     modifier = Modifier.fillMaxWidth(),
   52 |     navigationIcon = {
   53 |       Icon(
   54 |         modifier = Modifier
   55 |           .size(26.dp)
   56 |           .clickable {
   57 |             onBackClick()
   58 |           },
   59 |         imageVector = WhatsAppIcons.ArrowBack,
   60 |         tint = MaterialTheme.colorScheme.tertiary,
   61 |         contentDescription = null
   62 |       )
   63 |     },
   64 |     title = {
   65 |       WhatsAppMessageUserInfo(messageUiState = messageUiState)
   66 |     },
   67 |     actions = {
   68 |       Icon(
   69 |         modifier = Modifier
   70 |           .size(26.dp)
   71 |           .clickable {
   72 |             navigateToVideoCall(true)
   73 |           },
   74 |         imageVector = WhatsAppIcons.Video,
   75 |         tint = MaterialTheme.colorScheme.tertiary,
   76 |         contentDescription = null
   77 |       )
   78 | 
   79 |       Spacer(modifier = Modifier.size(16.dp))
   80 | 
   81 |       Icon(
   82 |         modifier = Modifier
   83 |           .size(26.dp)
   84 |           .clickable {
   85 |             navigateToVideoCall(false)
   86 |           },
   87 |         imageVector = WhatsAppIcons.Call,
   88 |         tint = MaterialTheme.colorScheme.tertiary,
   89 |         contentDescription = null
   90 |       )
   91 | 
   92 |       Spacer(modifier = Modifier.size(16.dp))
   93 | 
   94 |       Icon(
   95 |         modifier = Modifier.size(26.dp),"
pilot-0012,r0196,IacobIonut01__ReFra,IacobIonut01__ReFra/app/src/main/kotlin/com/dot/gallery/cloud/ui/people/PeopleListScreen.kt,254.0,PersonGridItem,clickable_icon_not_iconbutton,ISSUE,missing_semantics_role,adjudicated,FP_DETECTOR,ISSUE,missing_semantics_role,NO_ISSUE,none,missing_content_description,R2 missing Role.Button on clickable container,".clickable(onClick = onClick),","  239 | private fun PersonGridItem(
  240 |     person: PersonInfo,
  241 |     onClick: () -> Unit
  242 | ) {
  243 |     Column(
  244 |         horizontalAlignment = Alignment.CenterHorizontally,
  245 |         verticalArrangement = Arrangement.spacedBy(16.dp)
  246 |     ) {
  247 |         if (person.thumbnailUrl != null) {
  248 |             GlideImage(
  249 |                 model = person.thumbnailUrl.toUri(),
  250 |                 contentDescription = person.name,
  251 |                 modifier = Modifier
  252 |                     .size(100.dp)
  253 |                     .clip(CircleShape)
  254 |                     .clickable(onClick = onClick),
  255 |                 contentScale = ContentScale.Crop
  256 |             )
  257 |         } else {
  258 |             Box(
  259 |                 modifier = Modifier
  260 |                     .size(100.dp)
  261 |                     .clip(CircleShape)
  262 |                     .background(MaterialTheme.colorScheme.surfaceVariant)
  263 |                     .clickable(onClick = onClick),
  264 |                 contentAlignment = Alignment.Center
  265 |             ) {
  266 |                 Icon(
  267 |                     Icons.Outlined.Person, null,
  268 |                     modifier = Modifier.size(48.dp),
  269 |                     tint = MaterialTheme.colorScheme.onSurfaceVariant
  270 |                 )
  271 |             }
  272 |         }
  273 |         Text(
  274 |             text = person.name.ifBlank { stringResource(R.string.cloud_people_unknown) },
  275 |             style = MaterialTheme.typography.bodyLarge,
  276 |             textAlign = TextAlign.Center,
  277 |             maxLines = 1,
  278 |             overflow = TextOverflow.Ellipsis
  279 |         )
  280 |     }
  281 | }"
pilot-0138,r0131,OMGSoundboard__android-app,OMGSoundboard__android-app/app/src/main/java/audio/omgsoundboard/presentation/composables/AboutItem.kt,20.0,AboutItem,missing_interaction_semantics,ISSUE,missing_semantics_role,adjudicated,FP_DETECTOR,ISSUE,missing_semantics_role,NO_ISSUE,none,touch_target_size,R2 missing Role.Button on clickable container,".clickable { onClick() },","    8 | import androidx.compose.ui.Alignment
    9 | import androidx.compose.ui.Modifier
   10 | import androidx.compose.ui.res.painterResource
   11 | import androidx.compose.ui.res.stringResource
   12 | import androidx.compose.ui.unit.dp
   13 | 
   14 | 
   15 | @Composable
   16 | fun AboutItem(icon: Int, title: Int, onClick: () -> Unit){
   17 |     Row(
   18 |         modifier = Modifier
   19 |             .padding(horizontal = 16.dp, vertical = 12.dp)
   20 |             .clickable { onClick() },
   21 |         horizontalArrangement = Arrangement.Start,
   22 |         verticalAlignment = Alignment.CenterVertically
   23 |     ) {
   24 | 
   25 |         Icon(
   26 |             painter = painterResource(id = icon),
   27 | 
   28 |             contentDescription = null
   29 |         )
   30 |         Spacer(modifier = Modifier.width(16.dp))
   31 |         Text(
   32 |             text = stringResource(id = title),
   33 |         )
   34 | 
   35 |     }
   36 | }"
