composable_id,repo,file,composable,category,evidence,verdict,rater,notes
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteEditorSearchBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteEditorSearchBar,textfield_no_label,OutlinedTextField with placeholder but no label,,,
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,missing_content_description,contentDescription = null,,,
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,missing_content_description,contentDescription = null,,,
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,missing_semantics_role,.clickable without Role,,,
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,missing_semantics_role,.clickable without Role,,,
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,missing_semantics_role,.clickable without Role,,,
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,missing_interaction_semantics,.clickable without onClickLabel,,,
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,missing_interaction_semantics,.clickable without onClickLabel,,,
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,missing_interaction_semantics,.clickable without onClickLabel,,,
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,text_truncation_scaling,maxLines = 1 with Ellipsis (clips at large font scale),,,
iTsMe-Zen__Areada::ReaderDialogs.kt::ZipEntryPickerDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,ZipEntryPickerDialog,missing_semantics_role,.clickable without Role,,,
iTsMe-Zen__Areada::ReaderDialogs.kt::ZipEntryPickerDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,ZipEntryPickerDialog,missing_interaction_semantics,.clickable without onClickLabel,,,
iTsMe-Zen__Areada::ReaderDialogs.kt::ZipEntryPickerDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,ZipEntryPickerDialog,missing_heading_semantics,titleLarge text without heading(),,,
iTsMe-Zen__Areada::ReaderDialogs.kt::ZipEntryPickerDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,ZipEntryPickerDialog,missing_merge_descendants,"clickable Row with 2 Text children, no mergeDescendants",,,
iTsMe-Zen__Areada::ReaderDialogs.kt::CompactTwoButtonDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,CompactTwoButtonDialog,missing_heading_semantics,titleLarge text without heading(),,,
iTsMe-Zen__Areada::ReaderDialogs.kt::GoToPositionDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,GoToPositionDialog,textfield_no_label,OutlinedTextField with placeholder but no label,,,
iTsMe-Zen__Areada::ReaderDialogs.kt::GoToPositionDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,GoToPositionDialog,missing_heading_semantics,headlineSmall text without heading(),,,
iTsMe-Zen__Areada::ReaderDialogs.kt::GoToPositionDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,GoToPositionDialog,error_state_no_semantics,isError set without semantics { error(...) },,,
iTsMe-Zen__Areada::ReaderDialogs.kt::CompactChoiceDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,CompactChoiceDialog,missing_heading_semantics,titleLarge text without heading(),,,
iTsMe-Zen__Areada::ReaderDialogs.kt::PromptChoiceButton,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,PromptChoiceButton,missing_semantics_role,.clickable without Role,,,
iTsMe-Zen__Areada::ReaderDialogs.kt::PromptChoiceButton,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,PromptChoiceButton,missing_interaction_semantics,.clickable without onClickLabel,,,
iTsMe-Zen__Areada::ReaderSharedComponents.kt::FolderRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,FolderRow,missing_content_description,contentDescription = null,,,
iTsMe-Zen__Areada::ReaderSharedComponents.kt::FolderRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,FolderRow,missing_content_description,contentDescription = null,,,
iTsMe-Zen__Areada::ReaderSharedComponents.kt::FolderRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,FolderRow,text_truncation_scaling,maxLines = 1 with Ellipsis (clips at large font scale),,,
iTsMe-Zen__Areada::ReaderSharedComponents.kt::BookRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,BookRow,missing_content_description,contentDescription = null,,,
iTsMe-Zen__Areada::ReaderSharedComponents.kt::BookRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,BookRow,missing_content_description,contentDescription = null,,,
iTsMe-Zen__Areada::ReaderSharedComponents.kt::BookRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,BookRow,text_truncation_scaling,maxLines = 1 with Ellipsis (clips at large font scale),,,
iTsMe-Zen__Areada::ReaderSharedComponents.kt::BookRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,BookRow,text_truncation_scaling,maxLines = 1 with Ellipsis (clips at large font scale),,,
