composable_id,repo,file,composable,loc
iTsMe-Zen__Areada::AreadaApp.kt::AreadaApp,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/AreadaApp.kt,AreadaApp,4
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteEditorSearchBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteEditorSearchBar,75
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionBar,165
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteSectionActionSheet,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteSectionActionSheet,59
iTsMe-Zen__Areada::TextEditorComponents.kt::NoteEditorHelperBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/TextEditorComponents.kt,NoteEditorHelperBar,56
iTsMe-Zen__Areada::PdfExtractedTextContent.kt::PdfExtractedTextContent,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/PdfExtractedTextContent.kt,PdfExtractedTextContent,12
iTsMe-Zen__Areada::ReaderDialogs.kt::OpenLinkDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,OpenLinkDialog,11
iTsMe-Zen__Areada::ReaderDialogs.kt::ExitPromptDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,ExitPromptDialog,11
iTsMe-Zen__Areada::ReaderDialogs.kt::ConfirmDeleteDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,ConfirmDeleteDialog,11
iTsMe-Zen__Areada::ReaderDialogs.kt::ZipEntryPickerDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,ZipEntryPickerDialog,73
iTsMe-Zen__Areada::ReaderDialogs.kt::SaveChangesDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,SaveChangesDialog,16
iTsMe-Zen__Areada::ReaderDialogs.kt::CompactTwoButtonDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,CompactTwoButtonDialog,57
iTsMe-Zen__Areada::ReaderDialogs.kt::GoToPositionDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,GoToPositionDialog,85
iTsMe-Zen__Areada::ReaderDialogs.kt::CompactChoiceDialog,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,CompactChoiceDialog,57
iTsMe-Zen__Areada::ReaderDialogs.kt::PromptChoiceButton,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderDialogs.kt,PromptChoiceButton,42
iTsMe-Zen__Areada::ReaderSharedComponents.kt::SectionHeader,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,SectionHeader,8
iTsMe-Zen__Areada::ReaderSharedComponents.kt::FolderRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,FolderRow,68
iTsMe-Zen__Areada::ReaderSharedComponents.kt::BookRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,BookRow,86
iTsMe-Zen__Areada::ReaderSharedComponents.kt::NotePopup,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,NotePopup,64
iTsMe-Zen__Areada::ReaderSharedComponents.kt::InfoCard,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,InfoCard,18
iTsMe-Zen__Areada::ReaderSharedComponents.kt::EmptyStateCard,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,EmptyStateCard,40
iTsMe-Zen__Areada::ReaderSharedComponents.kt::SettingChip,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,SettingChip,49
iTsMe-Zen__Areada::ReaderSharedComponents.kt::SettingToggleRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,SettingToggleRow,34
iTsMe-Zen__Areada::ReaderSharedComponents.kt::ReaderMessage,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,ReaderMessage,35
iTsMe-Zen__Areada::ReaderSharedComponents.kt::ErrorBanner,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,ErrorBanner,46
iTsMe-Zen__Areada::ReaderSharedComponents.kt::LoadingOverlay,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,LoadingOverlay,31
iTsMe-Zen__Areada::ReaderSharedComponents.kt::LoadingState,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,LoadingState,19
iTsMe-Zen__Areada::ReaderSharedComponents.kt::buildResumeLabel,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderSharedComponents.kt,buildResumeLabel,33
iTsMe-Zen__Areada::DirectionalButtons.kt::DirectionalButtons,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/DirectionalButtons.kt,DirectionalButtons,89
iTsMe-Zen__Areada::DirectionalButtons.kt::DirectionalButton,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/DirectionalButtons.kt,DirectionalButton,73
iTsMe-Zen__Areada::SelectableTextView.kt::SelectableTextView,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SelectableTextView.kt,SelectableTextView,45
iTsMe-Zen__Areada::KeyboardInsetsHelper.kt::rememberKeyboardHeightDp,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/KeyboardInsetsHelper.kt,rememberKeyboardHeightDp,29
iTsMe-Zen__Areada::TextReaderScreen.kt::TextReaderScreen,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/TextReaderScreen.kt,TextReaderScreen,885
iTsMe-Zen__Areada::SettingsComponents.kt::SettingsSection,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,SettingsSection,15
iTsMe-Zen__Areada::SettingsComponents.kt::CollapsibleSettingsSection,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,CollapsibleSettingsSection,35
iTsMe-Zen__Areada::SettingsComponents.kt::SettingsSectionSpacer,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,SettingsSectionSpacer,4
iTsMe-Zen__Areada::SettingsComponents.kt::SettingsControlSpacer,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,SettingsControlSpacer,4
iTsMe-Zen__Areada::SettingsComponents.kt::LanguageSelector,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,LanguageSelector,41
iTsMe-Zen__Areada::SettingsComponents.kt::SettingsSlider,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,SettingsSlider,32
iTsMe-Zen__Areada::SettingsComponents.kt::SettingsBinaryRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,SettingsBinaryRow,39
iTsMe-Zen__Areada::SettingsComponents.kt::SettingsBinaryButton,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,SettingsBinaryButton,35
iTsMe-Zen__Areada::SettingsComponents.kt::SettingsLabelValueRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,SettingsLabelValueRow,22
iTsMe-Zen__Areada::SettingsComponents.kt::VersionLine,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,VersionLine,20
iTsMe-Zen__Areada::SettingsComponents.kt::ReaderThemeMode,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,ReaderThemeMode,10
iTsMe-Zen__Areada::SettingsComponents.kt::ReaderFontChoice,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,ReaderFontChoice,7
iTsMe-Zen__Areada::SettingsComponents.kt::ReaderOrientationMode,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,ReaderOrientationMode,7
iTsMe-Zen__Areada::SettingsComponents.kt::ReaderLanguageMode,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,ReaderLanguageMode,11
iTsMe-Zen__Areada::SettingsComponents.kt::ReaderNavigationMode,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/SettingsComponents.kt,ReaderNavigationMode,7
iTsMe-Zen__Areada::EpubWebView.kt::EpubWebView,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/EpubWebView.kt,EpubWebView,302
iTsMe-Zen__Areada::Fb2ReaderScreen.kt::Fb2ReaderScreen,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/Fb2ReaderScreen.kt,Fb2ReaderScreen,388
iTsMe-Zen__Areada::PdfReaderScreen.kt::PdfReaderScreen,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/PdfReaderScreen.kt,PdfReaderScreen,10
iTsMe-Zen__Areada::PdfZoomablePage.kt::ZoomablePage,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/PdfZoomablePage.kt,ZoomablePage,13
iTsMe-Zen__Areada::MarkdownReaderScreen.kt::MarkdownReaderScreen,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/MarkdownReaderScreen.kt,MarkdownReaderScreen,254
iTsMe-Zen__Areada::EpubReaderScreen.kt::EpubReaderScreen,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/EpubReaderScreen.kt,EpubReaderScreen,537
iTsMe-Zen__Areada::ReaderComfortOverlay.kt::ReaderComfortOverlay,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/reader/ReaderComfortOverlay.kt,ReaderComfortOverlay,32
iTsMe-Zen__Areada::HomeFilters.kt::bookRowProgressLabel,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/home/HomeFilters.kt,bookRowProgressLabel,9
iTsMe-Zen__Areada::HomeSections.kt::BookmarksSection,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/home/HomeSections.kt,BookmarksSection,56
iTsMe-Zen__Areada::HomeSections.kt::ReadingSectionHeader,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/home/HomeSections.kt,ReadingSectionHeader,32
iTsMe-Zen__Areada::HomeSections.kt::BookmarkRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/home/HomeSections.kt,BookmarkRow,30
iTsMe-Zen__Areada::HomeSections.kt::SearchResults,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/home/HomeSections.kt,SearchResults,34
iTsMe-Zen__Areada::HomeSections.kt::SearchResultRow,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/home/HomeSections.kt,SearchResultRow,55
iTsMe-Zen__Areada::HomeSections.kt::ManageFoldersSheet,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/home/HomeSections.kt,ManageFoldersSheet,70
iTsMe-Zen__Areada::SearchBar.kt::SearchBar,iTsMe-Zen__Areada,iTsMe-Zen__Areada/app/src/main/java/app/areada/ui/home/SearchBar.kt,SearchBar,78
