rater_row_id,item_id,category,repo,file,decl_name,anchor_line
r0001,pilot-0204,pointerinput_no_semantics,android__androidify,android__androidify/feature/camera/src/main/java/com/android/developers/androidify/camera/CameraViewfinder.kt,CameraViewfinder,64.0
r0002,pilot-0267,textfield_no_label,raheemadamboev__todo-app,raheemadamboev__todo-app/app/src/main/java/xyz/teamgravity/todo/presentation/component/textfield/TodoTextField.kt,TodoTextField,19.0
r0003,pilot-0153,missing_merge_descendants,zhishengplus__ZhishengWeather,zhishengplus__ZhishengWeather/app/src/main/kotlin/com/zhisheng/weather/ui/WhatsNewDialog.kt,WhatsNewDialog,80.0
r0004,pilot-0010,clickable_icon_not_iconbutton,imashnake0__Animite,imashnake0__Animite/profile/src/main/kotlin/com/imashnake/animite/profile/ui/MediaTrackingList.kt,ListOptions,283.0
r0005,pilot-0234,progress_no_semantics,RisorseArtificiali__anti-vocale,RisorseArtificiali__anti-vocale/app/src/main/java/com/antivocale/app/ui/components/ModelVariantCard.kt,DownloadProgressView,365.0
r0006,pilot-0227,progress_no_semantics,kursatkumsuz__movie,kursatkumsuz__movie/core/component/src/main/java/com/kursatkumsuz/component/LoadingPage.kt,LoadingPage,33.0
r0007,pilot-0197,missing_state_description,braniik__slate,braniik__slate/app/src/main/java/com/braniik/slate/ui/drawer/list/ListEditDialog.kt,ListEditDialog,120.0
r0008,pilot-0110,missing_heading_semantics,MohamadOday__iris-gallery,MohamadOday__iris-gallery/app/src/main/java/com/iris/gallery/ui/AboutScreen.kt,AboutScreen,162.0
r0009,pilot-0006,clickable_icon_not_iconbutton,maximilian-schwaerzler__Do-It,maximilian-schwaerzler__Do-It/app/src/main/java/at/co/schwaerzler/maximilian/doit/ui/navigation/screen/SettingsScreen.kt,SettingsScreenContent,175.0
r0010,pilot-0176,missing_semantics_role,zhishengplus__ZhishengWeather,zhishengplus__ZhishengWeather/app/src/main/kotlin/com/zhisheng/weather/ui/LandscapeStandbyScreen.kt,LandscapeStandbyScreen,167.0
r0011,pilot-0238,progress_no_semantics,piratecash__pcash-wallet,piratecash__pcash-wallet/app/src/main/java/cash/p/terminal/modules/coin/overview/ui/CoinOverviewScreen.kt,onClick,286.0
r0012,pilot-0058,decorative_mislabeled,gautam84__Foodike,gautam84__Foodike/app/src/main/java/com/example/foodike/presentation/history/components/HistorySection.kt,HistorySection,114.0
r0013,pilot-0219,pointerinput_no_semantics,Nevodev__Cresto,Nevodev__Cresto/app/src/main/java/com/nevoit/cresto/ui/components/glasense/GlasenseSwitch.kt,GlasenseSwitch,214.0
r0014,pilot-0046,decorative_mislabeled,MohamadOday__iris-gallery,MohamadOday__iris-gallery/app/src/main/java/com/iris/gallery/ui/AboutScreen.kt,AboutScreen,154.0
r0015,pilot-0183,missing_state_description,zhishengplus__ZhishengWeather,zhishengplus__ZhishengWeather/app/src/main/kotlin/com/zhisheng/weather/ui/SettingsScreen.kt,ToggleRow,1118.0
r0016,pilot-0222,progress_no_semantics,nikbulavin__flick,nikbulavin__flick/core/ui/src/main/kotlin/ru/resodostudio/flick/core/ui/UiState.kt,LoadingState,32.0
r0017,pilot-0290,touch_target_size,crome1394__point-forecast,crome1394__point-forecast/forecast-point/app/src/main/java/com/crome/forecastpoint/MainActivity.kt,AppDrawer,1031.0
r0018,pilot-0212,pointerinput_no_semantics,android__nowinandroid,android__nowinandroid/core/designsystem/src/main/kotlin/com/google/samples/apps/nowinandroid/core/designsystem/component/scrollbar/Scrollbar.kt,onScroll,23.0
r0019,pilot-0149,missing_merge_descendants,bernaferrari__SDKMonitor,bernaferrari__SDKMonitor/shared/src/commonMain/kotlin/com/bernaferrari/sdkmonitor/ui/settings/components/SettingsComponents.kt,NotificationPermissionRequestCard,210.0
