full_name,source,stars,license_hint,pushed_at,archived,fdroid_pkg
InfinityLoop1308/PipePipe,fdroid,,GPL-3.0-or-later,,,InfinityLoop1309.NewPipeEnhanced
Eve-146T/WORM,fdroid,,GPL-2.0-only,,,S.N.A.K.E
shardulvs/pdfinspector-android,fdroid,,MIT,,,SVS.pdfinspector
jroal/a2dpvolume,fdroid,,GPL-3.0-only,,,a2dp.Vol
XilinJia/Podcini.A,fdroid,,GPL-3.0-only,,,ac.mdiq.Podcini.A
XilinJia/Podcini.X,fdroid,,GPL-3.0-only,,,ac.mdiq.podcini.X
communitymedia/mediaphone,fdroid,,LGPL-3.0-only,,,ac.robinson.mediaphone
XilinJia/UT.urn,fdroid,,GPL-3.0-only,,,ac.stresa.uturn
acidburnmonkey/stims,fdroid,,GPL-3.0-only,,,acidburn.stims
anthonycr/Lightning-Browser,fdroid,,MPL-2.0,,,acr.browser.lightning
agersant/polaris-android,fdroid,,MIT,,,agersant.polaris
Decentricity/hitomi-android,fdroid,,AGPL-3.0-or-later,,,ai.agent1c.hitomi.open
allentown521/FocusMastodon,fdroid,,GPL-3.0-only,,,allen.town.focus.mastodon
allentown521/FocusPodcast,fdroid,,GPL-3.0-only,,,allen.town.focus.podcast
nain-F49FF806/anemo-aer,fdroid,,GPL-3.0-only,,,alt.nainapps.aer
nain-F49FF806/sharepaste.oo,fdroid,,AGPL-3.0-only,,,alt.nainapps.sharepaste.fdroid
amirzaidi/DNGProcessor,fdroid,,LGPL-3.0-only,,,amirz.dngprocessor
amirzaidi/Launcher3,fdroid,,Apache-2.0,,,amirz.rootless.nexuslauncher
gryphius/androdns,fdroid,,Apache-2.0,,,androdns.android.leetdreams.ch.androdns
JonasBernard/FakeStandby,fdroid,,GPL-3.0-or-later,,,android.jonas.fakestandby
agnelfranciso/Kochi-Transit-Go,fdroid,,MIT,,,app.agneldev.kochitransitgo
immich-app/immich,fdroid,,AGPL-3.0-only,,,app.alextran.immich
iTsMe-Zen/Areada,fdroid,,Apache-2.0,,,app.areada
retransmit/Atrium,fdroid,,GPL-3.0-or-later,,,app.atrium
UXAVIA/bag,fdroid,,GPL-3.0-only,,,app.bitbag
mlm-games/cclauncher,fdroid,,GPL-3.0-only,,,app.cclauncher
mlm-games/CLauncher,fdroid,,GPL-3.0-only,,,app.clauncher
itsluminous/ClearSMS,fdroid,,Apache-2.0,,,app.clearsms
roman10/trayzero,fdroid,,GPL-3.0-only,,,app.cleartray
Project-Mandarin/DumDum,fdroid,,GPL-3.0-only,,,app.dumdum
DroidWorksStudio/EasyLauncher,fdroid,,GPL-3.0-only,,,app.easy.launcher
geteduroam/android-app,fdroid,,BSD-3-Clause,,,app.eduroam.geteduroam
moylali/OTGMaster,fdroid,,GPL-2.0-or-later,,,app.fayaz.otgmaster
mlm-games/flicky,fdroid,,GPL-3.0-or-later,,,app.flicky
kxxoling/FloatDeck,fdroid,,MIT,,,app.floatdeck
mlm-games/fluffy,fdroid,,GPL-3.0-or-later,,,app.fluffy
getknit/knit,fdroid,,GPL-3.0-or-later,,,app.getknit.knit
Crazy-Marvin/Halma,fdroid,,Apache-2.0,,,app.halma
angus6b23/hk-transport,fdroid,,GPL-3.0-or-later,,,app.hkTransport
psfinaki/HypoStats,fdroid,,MIT,,,app.hypostats
Jigsaw-Code/Intra,fdroid,,Apache-2.0,,,app.intra
kisst/link-clear,fdroid,,GPL-3.0-only,,,app.linkclear
maxwhipw/marmalade-tts-android,fdroid,,GPL-3.0-or-later,,,app.marmalade.tts
humammalhas/maskan,fdroid,,GPL-3.0-only,,,app.maskan.chat
PadraicMCE/SyncRecord_fdroid,fdroid,,MIT,,,app.mcevoy.syncrecordapp
michaelWuensch/BitBanana,fdroid,,MIT,,,app.michaelwuensch.bitbanana
DroidWorksStudio/mLauncher,fdroid,,GPL-3.0-only,,,app.mlauncher
lbr38/motion-UI,fdroid,,GPL-3.0-only,,,app.motionui.android
alesimula/Murine-launcher,fdroid,,Apache-2.0,,,app.murinelauncher
Myzel394/Alibi,fdroid,,GPL-3.0-only,,,app.myzel394.alibi
nightdropapp/nightdrop,fdroid,,AGPL-3.0-or-later,,,app.nightdrop
zHd4/NoteSR,fdroid,,MIT,,,app.notesr
tanujnotes/Olauncher,fdroid,,GPL-3.0-only,,,app.olauncher
onloc-app/onloc-android,fdroid,,GPL-3.0-or-later,,,app.onloc.android
organicmaps/organicmaps,fdroid,,Apache-2.0,,,app.organicmaps
pachli/pachli-android,fdroid,,GPL-3.0-or-later,,,app.pachli
