full_name,source,stars,license,default_branch,pushed_at,days_since_push,compose_files_saved,url,accessed
shardulvs/pdfinspector-android,fdroid,40,MIT,master,2026-06-14T10:49:44Z,88,10,https://github.com/shardulvs/pdfinspector-android,2026-09-11
iTsMe-Zen/Areada,fdroid,138,APACHE-2.0,main,2026-09-05T07:50:49Z,5,25,https://github.com/iTsMe-Zen/Areada,2026-09-11
itsluminous/ClearSMS,fdroid,42,APACHE-2.0,main,2026-09-09T13:12:44Z,1,25,https://github.com/itsluminous/ClearSMS,2026-09-11
geteduroam/android-app,fdroid,47,BSD-3-CLAUSE,main,2026-08-10T18:30:37Z,31,13,https://github.com/geteduroam/android-app,2026-09-11
psfinaki/HypoStats,fdroid,4,MIT,main,2026-03-31T15:47:03Z,163,14,https://github.com/psfinaki/HypoStats,2026-09-11
maxwhipw/marmalade-tts-android,fdroid,21,MIT,main,2026-09-08T05:42:41Z,2,24,https://github.com/maxwhipw/marmalade-tts-android,2026-09-11
Hamza417/Peristyle,fdroid,707,APACHE-2.0,master,2026-09-05T09:32:07Z,5,25,https://github.com/Hamza417/Peristyle,2026-09-11
Smarzaro/Foss4g2024Schedule,fdroid,1,APACHE-2.0,master,2025-07-31T01:10:11Z,407,4,https://github.com/Smarzaro/Foss4g2024Schedule,2026-09-11
ZornsLemma/my-price-log,fdroid,19,MIT,master,2026-06-04T11:28:25Z,98,25,https://github.com/ZornsLemma/my-price-log,2026-09-11
maximilian-schwaerzler/Do-It,fdroid,16,APACHE-2.0,master,2026-07-08T21:39:29Z,64,10,https://github.com/maximilian-schwaerzler/Do-It,2026-09-11
EventFahrplan/EventFahrplan,fdroid,279,APACHE-2.0,master,2026-09-10T21:32:29Z,0,25,https://github.com/EventFahrplan/EventFahrplan,2026-09-11
J0s3f/Fechtkarte,fdroid,6,APACHE-2.0,main,2026-09-09T17:35:03Z,1,13,https://github.com/J0s3f/Fechtkarte,2026-09-11
linuxtage/EventFahrplan,fdroid,2,APACHE-2.0,glt-2022,2026-08-20T06:15:21Z,21,18,https://github.com/linuxtage/EventFahrplan,2026-09-11
OMGSoundboard/android-app,fdroid,52,APACHE-2.0,development,2026-07-01T16:25:13Z,71,25,https://github.com/OMGSoundboard/android-app,2026-09-11
chvp/NanoLedger,fdroid,130,MIT,main,2026-09-05T09:47:12Z,5,7,https://github.com/chvp/NanoLedger,2026-09-11
digiexchris/RoadTripRadar,fdroid,33,MIT,main,2026-08-22T09:41:29Z,19,25,https://github.com/digiexchris/RoadTripRadar,2026-09-11
piratecash/pcash-wallet,fdroid,41,MIT,master,2026-09-11T01:54:21Z,0,25,https://github.com/piratecash/pcash-wallet,2026-09-11
