item_id,category,verdict
pilot-0001,clickable_icon_not_iconbutton,
pilot-0002,clickable_icon_not_iconbutton,
pilot-0003,clickable_icon_not_iconbutton,
pilot-0004,clickable_icon_not_iconbutton,
pilot-0005,clickable_icon_not_iconbutton,
pilot-0006,clickable_icon_not_iconbutton,
pilot-0007,clickable_icon_not_iconbutton,
pilot-0008,clickable_icon_not_iconbutton,
pilot-0009,clickable_icon_not_iconbutton,
pilot-0010,clickable_icon_not_iconbutton,
pilot-0011,clickable_icon_not_iconbutton,
pilot-0012,clickable_icon_not_iconbutton,
pilot-0013,clickable_icon_not_iconbutton,
pilot-0014,clickable_icon_not_iconbutton,
pilot-0015,clickable_icon_not_iconbutton,
pilot-0016,clickable_icon_not_iconbutton,
pilot-0017,clickable_icon_not_iconbutton,
pilot-0018,clickable_icon_not_iconbutton,
pilot-0019,clickable_icon_not_iconbutton,
pilot-0020,clickable_icon_not_iconbutton,
pilot-0021,color_contrast,
pilot-0022,color_contrast,
pilot-0023,color_contrast,
pilot-0024,color_contrast,
pilot-0025,color_contrast,
pilot-0026,color_contrast,
pilot-0027,color_contrast,
pilot-0028,color_contrast,
pilot-0029,color_contrast,
pilot-0030,color_contrast,
pilot-0031,color_contrast,
pilot-0032,color_contrast,
pilot-0033,color_contrast,
pilot-0034,color_contrast,
pilot-0035,color_contrast,
pilot-0036,color_contrast,
pilot-0037,color_contrast,
pilot-0038,color_contrast,
pilot-0039,color_contrast,
pilot-0040,color_contrast,
pilot-0041,decorative_mislabeled,
pilot-0042,decorative_mislabeled,
pilot-0043,decorative_mislabeled,
pilot-0044,decorative_mislabeled,
pilot-0045,decorative_mislabeled,
pilot-0046,decorative_mislabeled,
pilot-0047,decorative_mislabeled,
pilot-0048,decorative_mislabeled,
pilot-0049,decorative_mislabeled,
pilot-0050,decorative_mislabeled,
pilot-0051,decorative_mislabeled,
pilot-0052,decorative_mislabeled,
pilot-0053,decorative_mislabeled,
pilot-0054,decorative_mislabeled,
pilot-0055,decorative_mislabeled,
pilot-0056,decorative_mislabeled,
pilot-0057,decorative_mislabeled,
pilot-0058,decorative_mislabeled,
pilot-0059,decorative_mislabeled,
pilot-0060,decorative_mislabeled,
pilot-0061,error_state_no_semantics,
pilot-0062,error_state_no_semantics,
pilot-0063,error_state_no_semantics,
pilot-0064,error_state_no_semantics,
pilot-0065,error_state_no_semantics,
pilot-0066,error_state_no_semantics,
pilot-0067,error_state_no_semantics,
pilot-0068,error_state_no_semantics,
pilot-0069,error_state_no_semantics,
pilot-0070,error_state_no_semantics,
pilot-0071,error_state_no_semantics,
pilot-0072,error_state_no_semantics,
pilot-0073,error_state_no_semantics,
pilot-0074,error_state_no_semantics,
pilot-0075,error_state_no_semantics,
pilot-0076,error_state_no_semantics,
pilot-0077,error_state_no_semantics,
pilot-0078,error_state_no_semantics,
pilot-0079,error_state_no_semantics,
pilot-0080,error_state_no_semantics,
pilot-0081,missing_content_description,
pilot-0082,missing_content_description,
pilot-0083,missing_content_description,
pilot-0084,missing_content_description,
pilot-0085,missing_content_description,
pilot-0086,missing_content_description,
pilot-0087,missing_content_description,
pilot-0088,missing_content_description,
pilot-0089,missing_content_description,
pilot-0090,missing_content_description,
pilot-0091,missing_content_description,
pilot-0092,missing_content_description,
pilot-0093,missing_content_description,
pilot-0094,missing_content_description,
pilot-0095,missing_content_description,
pilot-0096,missing_content_description,
pilot-0097,missing_content_description,
pilot-0098,missing_content_description,
pilot-0099,missing_content_description,
pilot-0100,missing_content_description,
pilot-0101,missing_heading_semantics,
pilot-0102,missing_heading_semantics,
pilot-0103,missing_heading_semantics,
pilot-0104,missing_heading_semantics,
pilot-0105,missing_heading_semantics,
pilot-0106,missing_heading_semantics,
pilot-0107,missing_heading_semantics,
pilot-0108,missing_heading_semantics,
pilot-0109,missing_heading_semantics,
pilot-0110,missing_heading_semantics,
pilot-0111,missing_heading_semantics,
pilot-0112,missing_heading_semantics,
pilot-0113,missing_heading_semantics,
pilot-0114,missing_heading_semantics,
pilot-0115,missing_heading_semantics,
pilot-0116,missing_heading_semantics,
pilot-0117,missing_heading_semantics,
pilot-0118,missing_heading_semantics,
pilot-0119,missing_heading_semantics,
pilot-0120,missing_heading_semantics,
pilot-0121,missing_interaction_semantics,
